team,player,club,club_country,club_with_country,position,date_of_birth,age,age_as_of,age_source,age_source_url,fc26_ovr,rating_source,rating_confidence,notes,source_url,rating_url,headshot_url,last_verified_at
South Africa,Evidence Makgopa,Orlando Pirates,South Africa,Orlando Pirates [South Africa],FW,2000-06-05,26,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Evidence_Makgopa,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
South Africa,Nkosinathi Sibisi,Orlando Pirates,South Africa,Orlando Pirates [South Africa],DF,1995-09-22,30,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Nkosinathi_Sibisi,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
South Africa,Thalente Mbatha,Orlando Pirates,South Africa,Orlando Pirates [South Africa],MF,2000-03-06,26,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Thalente_Mbatha,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
South Africa,Iqraam Rayners,Mamelodi Sundowns,South Africa,Mamelodi Sundowns [South Africa],FW,1995-12-19,30,2026-06-27,Wikipedia infobox bday,https://en.wikipedia.org/wiki/Iqraam_Rayners,,not_collected,unknown,Final-squad seed row from the 2026 World Cup squads page; FC 26 OVR was not matched in the fallback ratings index.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,2026-06-26
South Korea,Kim Min Jae,Bayern Munich,Germany,Bayern Munich [Germany],DF,1996-11-15,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/kim-min-jae-237086,82,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/kim-min-jae-237086,https://www.fcratings.com/assets/images/post/237086.png,2026-06-26
South Korea,Lee Kang In,Paris Saint-Germain,France,Paris Saint-Germain [France],MF,2001-02-19,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/lee-kang-in-243780,80,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/lee-kang-in-243780,https://www.fcratings.com/assets/images/post/243780.png,2026-06-26
South Korea,Lee Jae Sung,Mainz 05,Germany,Mainz 05 [Germany],MF,1992-08-10,33,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/lee-jae-sung-221671,76,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/lee-jae-sung-221671,https://www.fcratings.com/assets/images/post/221671.png,2026-06-26
South Korea,Hwang In Beom,Feyenoord,Netherlands,Feyenoord [Netherlands],MF,1996-09-20,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/hwang-in-beom-228010,76,third_party_fc_database,low,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/hwang-in-beom-228010,https://www.fcratings.com/assets/images/post/228010.png,2026-06-26
South Korea,Hwang Hee Chan,Wolverhampton Wanderers,England,Wolverhampton Wanderers [England],MF,1996-01-26,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/hwang-hee-chan-226380,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/hwang-hee-chan-226380,https://www.fcratings.com/assets/images/post/226380.png,2026-06-26
South Korea,Jo Hyeon Woo,Ulsan HD,South Korea,Ulsan HD [South Korea],GK,1991-09-25,34,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/jo-hyeon-woo-212432,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/jo-hyeon-woo-212432,https://www.fcratings.com/assets/images/post/212432.png,2026-06-26
South Korea,Park Jin Seob,Zhejiang,People's Republic of China,Zhejiang [People's Republic of China],DF,1995-10-23,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/park-jin-seob-243673,74,third_party_fc_database,low,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/park-jin-seob-243673,https://www.fcratings.com/assets/images/post/243673.png,2026-06-26
South Korea,Jens Castrop,Borussia Mönchengladbach,Germany,Borussia Mönchengladbach [Germany],DF,2003-07-29,22,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/jens-castrop-264194,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/jens-castrop-264194,https://www.fcratings.com/assets/images/post/264194.png,2026-06-26
South Korea,Song Bum Keun,Jeonbuk Hyundai Motors,South Korea,Jeonbuk Hyundai Motors [South Korea],GK,1997-10-15,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/song-bum-keun-238570,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/song-bum-keun-238570,https://www.fcratings.com/assets/images/post/238570.png,2026-06-26
South Korea,Oh Hyeon Gyu,Beşiktaş,Turkey,Beşiktaş [Turkey],FW,2001-04-12,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/oh-hyeon-gyu-248712,73,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/oh-hyeon-gyu-248712,https://www.fcratings.com/assets/images/post/248712.png,2026-06-26
South Korea,Paik Seung Ho,Birmingham City,England,Birmingham City [England],MF,1997-03-17,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/paik-seung-ho-237424,72,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/paik-seung-ho-237424,https://www.fcratings.com/assets/images/post/237424.png,2026-06-26
South Korea,Yang Hyun Jun,Celtic,Scotland,Celtic [Scotland],MF,2002-05-25,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/yang-hyun-jun-260397,72,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/yang-hyun-jun-260397,https://www.fcratings.com/assets/images/post/260397.png,2026-06-26
South Korea,Bae Jun Ho,Stoke City,England,Stoke City [England],MF,2003-08-21,22,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/bae-jun-ho-266774,71,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/bae-jun-ho-266774,https://www.fcratings.com/assets/images/post/266774.png,2026-06-26
South Korea,Eom Ji Sung,Swansea City,Wales,Swansea City [Wales],MF,2002-05-09,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/eom-ji-sung-260492,71,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/eom-ji-sung-260492,https://www.fcratings.com/assets/images/post/260492.png,2026-06-26
South Korea,Lee Han Beom,Midtjylland,Denmark,Midtjylland [Denmark],DF,2002-06-17,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/lee-han-beom-261062,71,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/lee-han-beom-261062,https://www.fcratings.com/assets/images/post/261062.png,2026-06-26
Czech Republic,Patrik Schick,Bayer Leverkusen,Germany,Bayer Leverkusen [Germany],FW,1996-01-24,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/patrik-schick-234236,85,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as one of the team's highest-profile FC 26 players for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/patrik-schick-234236,https://www.fcratings.com/assets/images/post/234236.png,2026-06-26
Czech Republic,Lukáš Provod,Slavia Prague,Czech Republic,Slavia Prague [Czech Republic],MF,1996-10-23,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/lukas-provod-253727,79,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/lukas-provod-253727,https://www.fcratings.com/assets/images/post/253727.png,2026-06-26
Czech Republic,Vladimír Coufal,TSG Hoffenheim,Germany,TSG Hoffenheim [Germany],DF,1992-08-22,33,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/vladimir-coufal-244470,78,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/vladimir-coufal-244470,https://www.fcratings.com/assets/images/post/244470.png,2026-06-26
Czech Republic,Pavel Šulc,Lyon,France,Lyon [France],FW,2000-12-29,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/pavel-sulc-247050,78,third_party_fc_database,low,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/pavel-sulc-247050,https://www.fcratings.com/assets/images/post/247050.png,2026-06-26
Czech Republic,Adam Hložek,TSG Hoffenheim,Germany,TSG Hoffenheim [Germany],FW,2002-07-25,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/adam-hlozek-246618,77,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/adam-hlozek-246618,https://www.fcratings.com/assets/images/post/246618.png,2026-06-26
Czech Republic,Michal Sadílek,Slavia Prague,Czech Republic,Slavia Prague [Czech Republic],MF,1999-05-31,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/michal-sadilek-245209,77,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/michal-sadilek-245209,https://www.fcratings.com/assets/images/post/245209.png,2026-06-26
Czech Republic,Matěj Kovář,PSV Eindhoven,Netherlands,PSV Eindhoven [Netherlands],GK,2000-05-17,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/matej-kovar-242948,77,third_party_fc_database,low,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/matej-kovar-242948,https://www.fcratings.com/assets/images/post/242948.png,2026-06-26
Czech Republic,Tomáš Souček,West Ham United,England,West Ham United [England],MF,1995-02-27,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/tomas-soucek-236792,76,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/tomas-soucek-236792,https://www.fcratings.com/assets/images/post/236792.png,2026-06-26
Czech Republic,Tomáš Holeš,Slavia Prague,Czech Republic,Slavia Prague [Czech Republic],DF,1993-03-31,33,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/tomas-holes-251116,76,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/tomas-holes-251116,https://www.fcratings.com/assets/images/post/251116.png,2026-06-26
Czech Republic,Robin Hranáč,TSG Hoffenheim,Germany,TSG Hoffenheim [Germany],DF,2000-01-29,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/robin-hranac-276646,76,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/robin-hranac-276646,https://www.fcratings.com/assets/images/post/276646.png,2026-06-26
Czech Republic,Jindřich Staněk,Slavia Prague,Czech Republic,Slavia Prague [Czech Republic],GK,1996-04-27,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/jindrich-stanek-221909,76,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/jindrich-stanek-221909,https://www.fcratings.com/assets/images/post/221909.png,2026-06-26
Czech Republic,David Zima,Slavia Prague,Czech Republic,Slavia Prague [Czech Republic],DF,2000-11-08,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/david-zima-255687,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/david-zima-255687,https://www.fcratings.com/assets/images/post/255687.png,2026-06-26
Czech Republic,Tomáš Chorý,Slavia Prague,Czech Republic,Slavia Prague [Czech Republic],FW,1995-01-26,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/tomas-chory-244793,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/tomas-chory-244793,https://www.fcratings.com/assets/images/post/244793.png,2026-06-26
Czech Republic,Lukas Hornicek,Braga,Portugal (official),Braga [Portugal (official)],GK,2002-07-13,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/lukas-hornicek-258936,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/lukas-hornicek-258936,https://www.fcratings.com/assets/images/post/258936.png,2026-06-26
Czech Republic,Mojmír Chytil,Slavia Prague,Czech Republic,Slavia Prague [Czech Republic],FW,1999-04-29,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/mojmir-chytil-274906,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/mojmir-chytil-274906,https://www.fcratings.com/assets/images/post/274906.png,2026-06-26
Canada,Jonathan David,Juventus,Italy,Juventus [Italy],FW,2000-01-14,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/jonathan-david-243630,81,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/jonathan-david-243630,https://www.fcratings.com/assets/images/post/243630.png,2026-06-26
Canada,Alistair Johnston,Celtic,Scotland,Celtic [Scotland],DF,1998-10-08,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/alistair-johnston-256107,78,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/alistair-johnston-256107,https://www.fcratings.com/assets/images/post/256107.png,2026-06-26
Canada,Tajon Buchanan,Villarreal,Spain,Villarreal [Spain],FW,1999-02-08,27,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/tajon-buchanan-246800,76,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/tajon-buchanan-246800,https://www.fcratings.com/assets/images/post/246800.png,2026-06-26
Canada,Stephen Eustáquio,Los Angeles FC,United States,Los Angeles FC [United States],MF,1996-12-21,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/stephen-eustaquio-242380,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/stephen-eustaquio-242380,https://www.fcratings.com/assets/images/post/242380.png,2026-06-26
Canada,Ismaël Koné,Sassuolo,Italy,Sassuolo [Italy],MF,2002-06-16,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ismael-kone-264207,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/ismael-kone-264207,https://www.fcratings.com/assets/images/post/264207.png,2026-06-26
Canada,Moïse Bombito,Nice,France,Nice [France],DF,2000-03-30,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/moise-bombito-274536,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/moise-bombito-274536,https://www.fcratings.com/assets/images/post/274536.png,2026-06-26
Canada,Promise David,Union Saint-Gilloise,Belgium (civil),Union Saint-Gilloise [Belgium (civil)],FW,2001-07-03,24,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/promise-david-73070,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/promise-david-73070,https://www.fcratings.com/assets/images/post/73070.png,2026-06-26
Canada,Cyle Larin,Southampton,England,Southampton [England],FW,1995-04-17,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/cyle-larin-226777,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/cyle-larin-226777,https://www.fcratings.com/assets/images/post/226777.png,2026-06-26
Canada,Derek Cornelius,Rangers,Scotland,Rangers [Scotland],DF,1997-11-25,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/derek-cornelius-243009,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/derek-cornelius-243009,https://www.fcratings.com/assets/images/post/243009.png,2026-06-26
Canada,Richie Laryea,Toronto FC,Canada (Pantone),Toronto FC [Canada (Pantone)],DF,1995-01-07,31,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/richie-laryea-232081,73,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/richie-laryea-232081,https://www.fcratings.com/assets/images/post/232081.png,2026-06-26
Canada,Liam Millar,Hull City,England,Hull City [England],MF,1999-09-27,26,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/liam-millar-240925,72,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/liam-millar-240925,https://www.fcratings.com/assets/images/post/240925.png,2026-06-26
Canada,Ali Ahmed,Norwich City,England,Norwich City [England],FW,2000-10-10,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ali-ahmed-272604,72,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/ali-ahmed-272604,https://www.fcratings.com/assets/images/post/272604.png,2026-06-26
Canada,Dayne St. Clair,Inter Miami CF,United States,Inter Miami CF [United States],GK,1997-05-09,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/dayne-st-clair-247228,72,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/dayne-st-clair-247228,https://www.fcratings.com/assets/images/post/247228.png,2026-06-26
Canada,Niko Sigur,Hajduk Split,Croatia,Hajduk Split [Croatia],DF,2003-09-09,22,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/niko-sigur-275238,72,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/niko-sigur-275238,https://www.fcratings.com/assets/images/post/275238.png,2026-06-26
Canada,Alfie Jones,Middlesbrough,England,Middlesbrough [England],DF,1997-10-07,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/alfie-jones-236315,72,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/alfie-jones-236315,https://www.fcratings.com/assets/images/post/236315.png,2026-06-26
Bosnia and Herzegovina,Ermedin Demirović,VfB Stuttgart,Germany,VfB Stuttgart [Germany],FW,1998-03-25,28,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/ermedin-demirovic-238900,80,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a strong rated squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/ermedin-demirovic-238900,https://www.fcratings.com/assets/images/post/238900.png,2026-06-26
Bosnia and Herzegovina,Sead Kolašinac,Atalanta,Italy,Atalanta [Italy],DF,1993-06-20,33,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/sead-kolasinac-207993,78,third_party_fc_database,low,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/sead-kolasinac-207993,https://www.fcratings.com/assets/images/post/207993.png,2026-06-26
Bosnia and Herzegovina,Nikola Vasilj,FC St. Pauli,Germany,FC St. Pauli [Germany],GK,1995-12-02,30,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/nikola-vasilj-262956,78,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/nikola-vasilj-262956,https://www.fcratings.com/assets/images/post/262956.png,2026-06-26
Bosnia and Herzegovina,Amar Dedić,Benfica,Portugal (official),Benfica [Portugal (official)],DF,2002-08-18,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/amar-dedic-257345,76,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/amar-dedic-257345,https://www.fcratings.com/assets/images/post/257345.png,2026-06-26
Bosnia and Herzegovina,Amar Memić,Viktoria Plzeň,Czech Republic,Viktoria Plzeň [Czech Republic],MF,2001-01-20,25,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/amar-memic-76602,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/amar-memic-76602,https://www.fcratings.com/assets/images/post/76602.png,2026-06-26
Bosnia and Herzegovina,Haris Tabaković,Borussia Mönchengladbach,Germany,Borussia Mönchengladbach [Germany],FW,1994-06-20,32,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/haris-tabakovic-212002,75,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a useful rotation-level squad option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/haris-tabakovic-212002,https://www.fcratings.com/assets/images/post/212002.png,2026-06-26
Bosnia and Herzegovina,Tarik Muharemović,Sassuolo,Italy,Sassuolo [Italy],DF,2003-02-28,23,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/tarik-muharemovic-262027,74,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/tarik-muharemovic-262027,https://www.fcratings.com/assets/images/post/262027.png,2026-06-26
Bosnia and Herzegovina,Nikola Katić,Schalke 04,Germany,Schalke 04 [Germany],DF,1996-10-10,29,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/nikola-katic-244204,72,third_party_fc_database,medium,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/nikola-katic-244204,https://www.fcratings.com/assets/images/post/244204.png,2026-06-26
Bosnia and Herzegovina,Esmir Bajraktarević,PSV Eindhoven,Netherlands,PSV Eindhoven [Netherlands],FW,2005-03-10,21,2026-06-27,FC Ratings schema.org birthDate,https://www.fcratings.com/esmir-bajraktarevic-269823,72,third_party_fc_database,low,Final-squad seed row from the 2026 World Cup squads page; selected as a final-squad depth option for this prototype watchlist.,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://www.fcratings.com/esmir-bajraktarevic-269823,https://www.fcratings.com/assets/images/post/269823.png,2026-06-26
